"","ohi_rgn","species","rgn_typ","rgn_nam","probability","FAOarea"
"341",247,"Galeocerdo cuvier","eez","Brunei",0.5,NA
"342",248,"Galeocerdo cuvier","eez","Saba",0.5,NA
"343",250,"Galeocerdo cuvier","eez","Aruba",0.5,NA
"344",261,"Galeocerdo cuvier","fao","Atlantic, Northwest",0.5,21
"345",262,"Galeocerdo cuvier","fao","Atlantic, Northeast",0.5,27
"346",264,"Galeocerdo cuvier","fao","Atlantic, Eastern Central",0.5,34
"347",266,"Galeocerdo cuvier","fao","Atlantic, Southwest",0.5,41
"348",267,"Galeocerdo cuvier","fao","Atlantic, Southeast",0.5,47
"349",269,"Galeocerdo cuvier","fao","Indian Ocean, Western",0.5,51
"350",272,"Galeocerdo cuvier","fao","Pacific, Northwest",0.5,61
"351",273,"Galeocerdo cuvier","fao","Pacific, Northeast",0.5,67
"352",274,"Galeocerdo cuvier","fao","Pacific, Western Central",0.5,71
"353",276,"Galeocerdo cuvier","fao","Pacific, Southwest",0.5,81
"354",277,"Galeocerdo cuvier","fao","Pacific, Southeast",0.5,87
"355",1,"Galeocerdo cuvier","eez","Cocos Islands",0,NA
"356",2,"Galeocerdo cuvier","eez","Christmas Island",0,NA
"357",3,"Galeocerdo cuvier","eez","Norfolk Island",0,NA
"358",5,"Galeocerdo cuvier","eez","New Caledonia",0,NA
"359",6,"Galeocerdo cuvier","eez","Vanuatu",0,NA
"360",7,"Galeocerdo cuvier","eez","Solomon Islands",0,NA
"361",8,"Galeocerdo cuvier","eez","Palau",0,NA
"362",9,"Galeocerdo cuvier","eez","Micronesia",0,NA
"363",10,"Galeocerdo cuvier","eez","Nauru",0,NA
"364",11,"Galeocerdo cuvier","eez","Marshall Islands",0,NA
"365",12,"Galeocerdo cuvier","eez","Wake Island",0,NA
"366",13,"Galeocerdo cuvier","eez","Northern Mariana Islands and Guam",0,NA
"367",14,"Galeocerdo cuvier","eez","Taiwan",0,NA
"368",15,"Galeocerdo cuvier","eez","Philippines",0,NA
"369",16,"Galeocerdo cuvier","eez","Australia",0,NA
"370",17,"Galeocerdo cuvier","eez","Papua New Guinea",0,NA
"371",18,"Galeocerdo cuvier","eez","Fiji",0,NA
"372",19,"Galeocerdo cuvier","eez","Tuvalu",0,NA
"373",20,"Galeocerdo cuvier","eez","South Korea",0,NA
"374",21,"Galeocerdo cuvier","eez","North Korea",0,NA
"375",24,"Galeocerdo cuvier","eez","Cambodia",0,NA
"376",25,"Galeocerdo cuvier","eez","Thailand",0,NA
"377",26,"Galeocerdo cuvier","eez","Andaman and Nicobar",0,NA
"378",28,"Galeocerdo cuvier","eez","Comoro Islands",0,NA
"379",29,"Galeocerdo cuvier","eez","Mayotte",0,NA
"380",30,"Galeocerdo cuvier","eez","Glorioso Islands",0,NA
"381",31,"Galeocerdo cuvier","eez","Seychelles",0,NA
"382",32,"Galeocerdo cuvier","eez","R_union",0,NA
"383",33,"Galeocerdo cuvier","eez","Juan de Nova Island",0,NA
"384",34,"Galeocerdo cuvier","eez","Bassas da India",0,NA
"385",35,"Galeocerdo cuvier","eez","Ile Europa",0,NA
"386",36,"Galeocerdo cuvier","eez","Ile Tromelin",0,NA
"387",37,"Galeocerdo cuvier","eez","Mauritius",0,NA
"388",38,"Galeocerdo cuvier","eez","British Indian Ocean Territory",0,NA
"389",39,"Galeocerdo cuvier","eez","Maldives",0,NA
"390",40,"Galeocerdo cuvier","eez","Sri Lanka",0,NA
"391",41,"Galeocerdo cuvier","eez","Mozambique",0,NA
"392",42,"Galeocerdo cuvier","eez","Madagascar",0,NA
"393",43,"Galeocerdo cuvier","eez","Kenya",0,NA
"394",44,"Galeocerdo cuvier","eez","Somalia",0,NA
"395",45,"Galeocerdo cuvier","eez","Eritrea",0,NA
"396",46,"Galeocerdo cuvier","eez","Djibouti",0,NA
"397",47,"Galeocerdo cuvier","eez","Yemen",0,NA
"398",48,"Galeocerdo cuvier","eez","Oman",0,NA
"399",49,"Galeocerdo cuvier","eez","Sudan",0,NA
"400",50,"Galeocerdo cuvier","eez","Saudi Arabia",0,NA
"401",51,"Galeocerdo cuvier","eez","Kuwait",0,NA
"402",52,"Galeocerdo cuvier","eez","Bahrain",0,NA
"403",53,"Galeocerdo cuvier","eez","Pakistan",0,NA
"404",54,"Galeocerdo cuvier","eez","United Arab Emirates",0,NA
"405",55,"Galeocerdo cuvier","eez","Azores",0,NA
"406",56,"Galeocerdo cuvier","eez","Cape Verde",0,NA
"407",57,"Galeocerdo cuvier","eez","Madeira",0,NA
"408",58,"Galeocerdo cuvier","eez","Canary Islands",0,NA
"409",59,"Galeocerdo cuvier","eez","Belgium",0,NA
"410",62,"Galeocerdo cuvier","eez","Morocco",0,NA
"411",63,"Galeocerdo cuvier","eez","Western Sahara",0,NA
"412",64,"Galeocerdo cuvier","eez","Mauritania",0,NA
"413",65,"Galeocerdo cuvier","eez","Gambia",0,NA
"414",66,"Galeocerdo cuvier","eez","Senegal",0,NA
"415",73,"Galeocerdo cuvier","eez","Russia",0,NA
"416",85,"Galeocerdo cuvier","eez","Ascension",0,NA
"417",86,"Galeocerdo cuvier","eez","Saint Helena",0,NA
"418",88,"Galeocerdo cuvier","eez","Tristan da Cunha",0,NA
"419",92,"Galeocerdo cuvier","eez","Amsterdam Island and Saint Paul Island",0,NA
"420",96,"Galeocerdo cuvier","eez","Sierra Leone",0,NA
